time,location,count
24,Germany,16
24,Italy,3
24,NL,1e-5
24,Other,467
24,South Korea,28
24,USA,13
25,China,68413
25,Germany,16
25,Italy,3
25,NL,1e-5
25,Other,557
25,South Korea,28
25,USA,13
26,China,70513
26,Germany,16
26,Italy,3
26,NL,1e-5
26,Other,650
26,South Korea,29
26,USA,13
27,China,72434
27,Germany,16
27,Italy,3
27,NL,1e-5
27,Other,762
27,South Korea,30
27,USA,13
28,China,74211
28,Germany,16
28,Italy,3
28,NL,1e-5
28,Other,862
28,South Korea,31
28,USA,13
29,China,74619
29,Germany,16
29,Italy,3
29,NL,1e-5
29,Other,957
29,South Korea,31
29,USA,13
30,China,75077
30,Germany,16
30,Italy,3
30,NL,1e-5
30,Other,984
30,South Korea,104
30,USA,13
31,China,75550
31,Germany,16
31,Italy,20
31,NL,1e-5
31,Other,1018
31,South Korea,204
31,USA,15
32,China,77001
32,Germany,16
32,Italy,62
32,NL,1e-5
32,Other,1052
32,South Korea,433
32,USA,15
33,China,77022
33,Germany,16
33,Italy,155
33,NL,1e-5
33,Other,1155
33,South Korea,602
33,USA,15
34,China,77241
34,Germany,16
34,Italy,229
34,NL,1e-5
34,Other,1198
34,South Korea,833
34,USA,51
35,China,77754
35,Germany,17
35,Italy,322
35,NL,1e-5
35,Other,1292
35,South Korea,977
35,USA,51
36,China,78166
36,Germany,27
36,Italy,453
36,NL,1e-5
36,Other,1431
36,South Korea,1261
36,USA,57
37,China,78600
37,Germany,46
37,Italy,655
37,NL,1
37,Other,1628
37,South Korea,1766
37,USA,58
38,China,78928
38,Germany,48
38,Italy,888
38,NL,1
38,Other,1858
38,South Korea,2337
38,USA,60
39,China,79356
39,Germany,79
39,Italy,1128
39,NL,6
39,Other,2224
39,South Korea,3150
39,USA,68
40,China,79932
40,Germany,130
40,Italy,1694
40,NL,10
40,Other,2793
40,South Korea,3736
40,USA,74
41,China,80136
41,Germany,159
41,Italy,2036
41,NL,18
41,Other,3524
41,South Korea,4335
41,USA,98
42,China,80261
42,Germany,196
42,Italy,2502
42,NL,24
42,Other,4553
42,South Korea,5186
42,USA,118
43,China,80386
43,Germany,262
43,Italy,3089
43,NL,38
43,Other,5575
43,South Korea,5621
43,USA,149
44,China,80537
44,Germany,482
44,Italy,3858
44,NL,82
44,Other,6618
44,South Korea,6088
44,USA,217
45,China,80690
45,Germany,670
45,Italy,4636
45,NL,128
45,Other,8805
45,South Korea,6593
45,USA,262
46,China,80770
46,Germany,799
46,Italy,5883
46,NL,188
46,Other,10738
46,South Korea,7041
46,USA,402
47,China,80823
47,Germany,1040
47,Italy,7375
47,NL,265
47,Other,12460
47,South Korea,7314
47,USA,518
48,China,80860
48,Germany,1176
48,Italy,9172
48,NL,321
48,Other,13971
48,South Korea,7478
48,USA,583
49,China,80887
49,Germany,1457
49,Italy,10149
49,NL,382
49,Other,17245
49,South Korea,7513
49,USA,959
50,China,80921
50,Germany,1908
50,Italy,12462
50,NL,503
50,Other,21035
50,South Korea,7755
50,USA,1281
51,China,80932
51,Germany,2078
51,Italy,12462
51,NL,503
51,Other,22836
51,South Korea,7869
51,USA,1663
52,China,80945
52,Germany,3675
52,Italy,17660
52,NL,806
52,Other,31949
52,South Korea,7979
52,USA,2179
53,China,80977
53,Germany,4585
53,Italy,21157
53,NL,962
53,Other,37600
53,South Korea,8086
53,USA,2727
54,China,81003
54,Germany,5795
54,Italy,24747
54,NL,1138
54,Other,43102
54,South Korea,8162
54,USA,3499
55,China,81033
55,Germany,7272
55,Italy,27980
55,NL,1416
55,Other,50958
55,South Korea,8236
55,USA,4632
56,China,81058
56,Germany,9257
56,Italy,31506
56,NL,1711
56,Other,58869
56,South Korea,8320
56,USA,6421
57,China,81102
57,Germany,12327
57,Italy,35713
57,NL,2058
57,Other,67514
57,South Korea,8413
57,USA,7783
58,China,81156
58,Germany,15320
58,Italy,41035
58,NL,2467
58,Other,80488
58,South Korea,8565
58,USA,13677
59,China,81250
59,Germany,19848
59,Italy,47021
59,NL,3003
59,Other,93292
59,South Korea,8652
59,USA,19100
60,China,81305
60,Germany,22213
60,Italy,53578
60,NL,3640
60,Other,109500
60,South Korea,8799
60,USA,25489
