time,location,count
19,China,39829
19,Italy,3
19,NL,1e-5
19,Other,280
19,South Korea,25
19,Spain,2
19,USA,11
20,China,42354
20,Italy,3
20,NL,1e-5
20,Other,365
20,South Korea,27
20,Spain,2
20,USA,11
21,China,44386
21,Italy,3
21,NL,1e-5
21,Other,371
21,South Korea,28
21,Spain,2
21,USA,12
22,China,44759
22,Italy,3
22,NL,1e-5
22,Other,417
22,South Korea,28
22,Spain,2
22,USA,12
23,China,59895
23,Italy,3
23,NL,1e-5
23,Other,427
23,South Korea,28
23,Spain,2
23,USA,13
24,China,66358
24,Italy,3
24,NL,1e-5
24,Other,481
24,South Korea,28
24,Spain,2
24,USA,13
25,China,68413
25,Italy,3
25,NL,1e-5
25,Other,571
25,South Korea,28
25,Spain,2
25,USA,13
26,China,70513
26,Italy,3
26,NL,1e-5
26,Other,664
26,South Korea,29
26,Spain,2
26,USA,13
27,China,72434
27,Italy,3
27,NL,1e-5
27,Other,776
27,South Korea,30
27,Spain,2
27,USA,13
28,China,74211
28,Italy,3
28,NL,1e-5
28,Other,876
28,South Korea,31
28,Spain,2
28,USA,13
29,China,74619
29,Italy,3
29,NL,1e-5
29,Other,971
29,South Korea,31
29,Spain,2
29,USA,13
30,China,75077
30,Italy,3
30,NL,1e-5
30,Other,998
30,South Korea,104
30,Spain,2
30,USA,13
31,China,75550
31,Italy,20
31,NL,1e-5
31,Other,1032
31,South Korea,204
31,Spain,2
31,USA,15
32,China,77001
32,Italy,62
32,NL,1e-5
32,Other,1066
32,South Korea,433
32,Spain,2
32,USA,15
33,China,77022
33,Italy,155
33,NL,1e-5
33,Other,1169
33,South Korea,602
33,Spain,2
33,USA,15
34,China,77241
34,Italy,229
34,NL,1e-5
34,Other,1212
34,South Korea,833
34,Spain,2
34,USA,51
35,China,77754
35,Italy,322
35,NL,1e-5
35,Other,1303
35,South Korea,977
35,Spain,6
35,USA,51
36,China,78166
36,Italy,453
36,NL,1e-5
36,Other,1445
36,South Korea,1261
36,Spain,13
36,USA,57
37,China,78600
37,Italy,655
37,NL,1
37,Other,1659
37,South Korea,1766
37,Spain,15
37,USA,58
38,China,78928
38,Italy,888
38,NL,1
38,Other,1874
38,South Korea,2337
38,Spain,32
38,USA,60
39,China,79356
39,Italy,1128
39,NL,6
39,Other,2258
39,South Korea,3150
39,Spain,45
39,USA,68
40,China,79932
40,Italy,1694
40,NL,10
40,Other,2839
40,South Korea,3736
40,Spain,84
40,USA,74
41,China,80136
41,Italy,2036
41,NL,18
41,Other,3563
41,South Korea,4335
41,Spain,120
41,USA,98
42,China,80261
42,Italy,2502
42,NL,24
42,Other,4584
42,South Korea,5186
42,Spain,165
42,USA,118
43,China,80386
43,Italy,3089
43,NL,38
43,Other,5615
43,South Korea,5621
43,Spain,222
43,USA,149
44,China,80537
44,Italy,3858
44,NL,82
44,Other,6841
44,South Korea,6088
44,Spain,259
44,USA,217
45,China,80690
45,Italy,4636
45,NL,128
45,Other,9075
45,South Korea,6593
45,Spain,400
45,USA,262
46,China,80770
46,Italy,5883
46,NL,188
46,Other,11037
46,South Korea,7041
46,Spain,500
46,USA,402
47,China,80823
47,Italy,7375
47,NL,265
47,Other,12827
47,South Korea,7314
47,Spain,673
47,USA,518
48,China,80860
48,Italy,9172
48,NL,321
48,Other,14074
48,South Korea,7478
48,Spain,1073
48,USA,583
49,China,80887
49,Italy,10149
49,NL,382
49,Other,17007
49,South Korea,7513
49,Spain,1695
49,USA,959
50,China,80921
50,Italy,12462
50,NL,503
50,Other,20666
50,South Korea,7755
50,Spain,2277
50,USA,1281
51,China,80932
51,Italy,12462
51,NL,503
51,Other,22637
51,South Korea,7869
51,Spain,2277
51,USA,1663
52,China,80945
52,Italy,17660
52,NL,806
52,Other,30392
52,South Korea,7979
52,Spain,5232
52,USA,2179
53,China,80977
53,Italy,21157
53,NL,962
53,Other,35794
53,South Korea,8086
53,Spain,6391
53,USA,2727
54,China,81003
54,Italy,24747
54,NL,1138
54,Other,41099
54,South Korea,8162
54,Spain,7798
54,USA,3499
55,China,81033
55,Italy,27980
55,NL,1416
55,Other,48288
55,South Korea,8236
55,Spain,9942
55,USA,4632
56,China,81058
56,Italy,31506
56,NL,1711
56,Other,56378
56,South Korea,8320
56,Spain,11748
56,USA,6421
57,China,81102
57,Italy,35713
57,NL,2058
57,Other,65931
57,South Korea,8413
57,Spain,13910
57,USA,7783
58,China,81156
58,Italy,41035
58,NL,2467
58,Other,77845
58,South Korea,8565
58,Spain,17963
58,USA,13677
